index,Ru1,Ru2,Ru3,v1,v2,v3,v4,v5,boundrary area (m2),length (m),width (m),travel length (m),mobile robot travel time (min),number of assembly sequences,robot viability rating [roof panels] (0 to 1),number of roof panels,robot viability rating [wall panels] (0 to 1),number of wall panels,total number of panels,total weight (kg),embodied carbon (kgCO2e),max deflection (cm),required quantity of CLT master panels for fabrication,number of assembly sequences requiring extra support
0,6,2,3,2,64,54,1,0,110,11,10,2046,76,33,0.45,33,0.53,52,85,8338.85805,3644,0.268813,3.12,8
1,2,7,13,1,62,65,0,1,88,8,11,1934,72,32,0.5,32,0.58,47,79,7724.084407,3375,0.231755,3.02,7
2,4,10,0,0,44,39,2,0,110,11,10,2165,81,32,0.49,32,0.44,53,85,8658.596526,3784,0.268789,3.06,7
3,5,21,15,1,66,45,1,0,110,10,11,1823,68,33,0.48,33,0.53,50,83,8284.736207,3620,0.275737,3.15,10
4,3,0,4,0,64,60,1,1,112,14,8,1911,71,32,0.45,32,0.63,49,81,7930.008853,3465,0.241238,2.94,7
5,0,4,14,1,42,52,0,1,110,11,10,1668,62,32,0.44,32,0.59,49,81,8418.780306,3679,0.29502,3.21,8
6,5,8,2,0,33,62,2,0,88,8,11,1869,70,33,0.45,33,0.51,51,84,8616.228609,3765,0.260984,3.23,9
7,7,8,13,1,62,46,1,2,72,18,4,2400,89,32,0.42,32,0.51,52,84,8477.107024,3704,0.255947,3.14,6
8,7,13,5,1,34,53,1,1,98,14,7,2195,82,35,0.5,35,0.57,50,85,8476.289268,3704,0.226175,3.15,8
9,7,7,10,0,35,62,1,0,110,11,10,2370,88,32,0.46,32,0.57,48,80,8309.475367,3631,0.311301,3.04,8
10,6,12,11,3,40,36,1,1,110,10,11,1800,67,34,0.49,34,0.56,49,83,8574.994106,3747,0.26508,3.22,10
11,0,18,15,1,68,60,2,1,121,11,11,2153,80,34,0.51,34,0.54,52,86,8138.152968,3556,0.251926,2.96,8
12,2,4,5,2,31,48,2,0,88,8,11,1790,67,33,0.44,33,0.53,50,83,8749.01843,3823,0.27388,3.26,11
13,5,21,1,3,58,44,0,1,110,10,11,1922,72,33,0.51,33,0.56,51,84,8369.186448,3657,0.251956,3.03,8
14,4,2,11,1,66,43,2,1,121,11,11,2348,88,34,0.48,34,0.56,51,85,8380.250774,3662,0.310115,3.12,9
15,3,3,9,2,48,36,1,1,72,18,4,2370,88,32,0.41,32,0.53,51,83,8850.932434,3868,0.272015,3.41,9
16,6,1,13,3,61,48,1,0,84,7,12,1794,67,35,0.5,35,0.52,50,85,8250.285837,3605,0.280536,2.95,9
17,1,0,12,2,67,58,1,2,105,7,15,2280,85,37,0.51,37,0.57,52,89,8161.765562,3567,0.253606,3.06,9
18,1,0,12,3,58,41,0,2,105,7,15,2274,85,37,0.51,37,0.52,52,89,8461.803086,3698,0.282,3.08,10
19,5,6,3,0,47,37,1,0,88,11,8,1934,72,32,0.46,32,0.48,53,85,8896.218613,3888,0.289348,3.25,7
20,4,11,10,2,47,35,1,1,105,15,7,2487,93,35,0.5,35,0.54,50,85,8718.938603,3810,0.332354,3.22,8
21,0,19,10,2,60,36,2,0,112,14,8,2022,75,32,0.46,32,0.51,51,83,8575.144331,3747,0.326502,3.26,7
22,4,22,8,1,47,49,0,2,105,15,7,2115,79,34,0.44,34,0.51,51,85,8657.832393,3783,0.252836,3.25,10
23,1,11,3,2,62,53,1,1,84,7,12,1956,73,35,0.52,35,0.59,49,84,8197.728065,3582,0.250435,3.08,10
24,5,20,16,2,63,35,2,2,110,11,10,1970,73,32,0.47,32,0.5,51,83,8500.642481,3715,0.293152,3.25,7
25,2,18,13,0,49,41,1,1,120,10,12,2211,82,35,0.5,35,0.56,50,85,8680.635231,3793,0.309135,3.25,7
26,6,9,2,1,67,64,1,0,121,11,11,1827,68,33,0.42,33,0.56,52,85,8061.890882,3523,0.257105,3.05,7
27,4,8,10,1,53,43,0,1,110,11,10,2469,92,32,0.47,32,0.54,50,82,8324.148937,3638,0.300695,3.14,6
28,5,5,7,2,37,38,1,1,88,8,11,1815,68,32,0.48,32,0.51,49,81,8416.644892,3678,0.262088,3.16,8
29,6,9,5,1,69,64,1,1,88,11,8,1914,71,36,0.5,36,0.61,50,86,7881.626604,3444,0.233985,2.96,7
30,3,18,2,0,48,54,2,0,98,14,7,1989,74,35,0.49,35,0.52,52,87,8378.770585,3662,0.240014,2.98,10
31,4,0,4,1,51,55,2,1,112,14,8,1974,74,32,0.44,32,0.56,52,84,8414.649431,3677,0.22877,3.1,7
32,4,13,12,1,58,60,2,2,121,11,11,2676,100,34,0.49,34,0.54,51,85,8046.319358,3516,0.284973,3.04,6
33,4,16,6,1,65,44,0,2,121,11,11,2250,84,34,0.47,34,0.58,49,83,8230.577903,3597,0.26476,3.14,7
34,5,18,1,1,48,49,2,0,120,10,12,2108,79,35,0.47,35,0.48,53,88,8841.343546,3864,0.266989,3.27,8
35,2,21,6,1,36,68,1,1,110,11,10,2141,80,33,0.44,33,0.59,50,83,8286.338181,3621,0.235612,3.12,8
36,3,19,13,2,40,63,1,2,112,14,8,2063,77,31,0.46,31,0.56,50,81,8314.460299,3633,0.253242,3.25,11
37,0,5,15,2,54,37,1,2,105,15,7,2103,78,34,0.44,34,0.53,51,85,8602.62485,3759,0.25035,3.25,8
38,2,21,4,0,61,51,1,0,112,14,8,2282,85,31,0.42,31,0.55,50,81,8341.787576,3645,0.260076,3.09,7
39,5,14,16,1,36,43,0,1,104,13,8,2052,77,32,0.42,32,0.56,50,82,8624.445958,3769,0.248914,3.24,6
40,4,9,2,3,34,65,1,2,110,11,10,1928,72,32,0.44,32,0.57,50,82,8245.480548,3603,0.268571,2.96,8
41,5,12,14,1,38,49,2,1,120,10,12,2138,80,35,0.5,35,0.53,51,86,8567.556063,3744,0.254184,3.25,11
42,5,2,5,1,51,58,0,0,105,7,15,2193,82,37,0.51,37,0.54,50,87,8211.051383,3588,0.259473,3.08,10
43,1,2,5,2,49,34,0,0,110,11,10,2063,77,32,0.49,32,0.48,52,84,8857.70212,3871,0.287798,3.27,8
44,2,14,12,2,49,39,0,1,110,10,11,1991,74,34,0.48,34,0.55,49,83,8622.765285,3768,0.255792,3.28,12
45,1,13,6,0,33,46,1,1,104,13,8,2244,84,32,0.42,32,0.53,51,83,8870.670967,3876,0.248115,3.2,8
46,6,13,8,2,44,35,1,1,110,10,11,2043,76,34,0.45,34,0.54,51,85,8789.055192,3841,0.26753,3.24,6
47,7,21,2,2,36,36,1,1,105,15,7,2123,79,34,0.42,34,0.52,52,86,8940.357342,3907,0.258764,3.36,8
48,7,18,4,3,48,54,1,0,88,11,8,1950,73,38,0.49,38,0.53,51,89,8565.466914,3743,0.323532,3.04,8
49,0,17,5,3,63,50,1,0,98,14,7,1889,70,31,0.43,31,0.59,49,80,8037.508311,3512,0.301109,2.96,6
50,4,2,10,0,36,65,0,1,121,11,11,2040,76,34,0.49,34,0.58,50,84,8366.887089,3656,0.23788,3.06,9
51,2,18,8,1,34,34,0,1,120,10,12,2531,94,35,0.5,35,0.48,52,87,8918.591482,3897,0.283088,3.34,7
52,7,1,8,2,44,45,0,1,88,11,8,1676,62,32,0.42,32,0.56,49,81,8660.006112,3784,0.297029,3.28,7
53,3,21,13,3,50,60,0,1,98,14,7,1820,68,30,0.41,30,0.58,49,79,8026.166379,3507,0.266251,2.96,7
54,4,15,6,0,69,59,0,1,98,14,7,1869,70,35,0.52,35,0.63,49,84,7793.39559,3406,0.220759,2.85,9
55,3,10,7,1,47,48,1,2,98,14,7,2393,89,30,0.44,30,0.55,50,80,8315.566495,3634,0.314136,3.12,7
56,3,19,12,2,34,53,1,2,121,11,11,2343,87,34,0.45,34,0.58,50,84,8507.159531,3718,0.289946,3.23,9
57,1,22,8,1,49,43,1,2,120,10,12,2198,82,35,0.48,35,0.51,52,87,8741.272726,3820,0.26568,3.34,9
58,0,11,7,0,45,60,2,1,77,11,7,1766,66,31,0.43,31,0.53,51,82,8229.408034,3596,0.247122,2.96,7
59,7,9,10,3,56,46,1,1,110,11,10,2177,81,32,0.48,32,0.56,50,82,8310.708642,3632,0.269716,3.04,9
60,0,8,16,1,33,52,2,1,105,15,7,2273,85,34,0.44,34,0.59,49,83,8464.428102,3699,0.32496,3.16,6
61,5,16,7,2,38,48,0,2,120,10,12,2543,95,35,0.48,35,0.48,52,87,8684.160756,3795,0.288152,3.23,9
62,4,7,9,0,63,62,1,1,110,11,10,2109,79,32,0.46,32,0.62,48,80,8002.586468,3497,0.262905,2.9,6
63,1,16,10,3,66,61,0,1,104,13,8,2067,77,32,0.45,32,0.59,49,81,7926.262946,3464,0.235706,2.95,12
64,2,6,14,1,38,35,1,2,88,11,8,2034,76,33,0.44,33,0.52,51,84,8800.46843,3846,0.253445,3.25,10
65,3,17,2,0,45,39,1,0,112,14,8,2430,91,32,0.44,32,0.49,51,83,8853.753894,3869,0.273861,3.24,9
66,1,1,6,0,39,36,2,1,110,10,11,2010,75,34,0.44,34,0.55,49,83,8665.345117,3787,0.293084,3.22,7
67,6,20,15,2,57,46,0,2,88,11,8,1625,61,30,0.47,30,0.54,47,77,8027.732244,3508,0.260198,3.06,7
68,7,5,2,0,35,63,1,0,105,15,7,2088,78,35,0.51,35,0.58,50,85,8245.503097,3603,0.293479,2.97,9
69,6,20,4,0,58,64,0,0,88,8,11,1625,61,32,0.47,32,0.58,47,79,7752.12035,3388,0.26991,2.95,6
70,3,18,12,1,67,66,2,0,98,14,7,2085,78,35,0.5,35,0.58,48,83,7589.82682,3317,0.249383,2.88,9
71,1,18,6,0,38,52,1,2,120,10,12,2114,79,35,0.48,35,0.53,50,85,8509.981061,3719,0.308544,3.1,9
72,4,8,9,1,63,51,1,2,77,11,7,1743,65,31,0.45,31,0.6,48,79,7956.670575,3477,0.29122,3.05,7
73,3,15,0,2,38,69,0,1,68,17,4,2147,80,29,0.4,29,0.54,51,80,8109.505794,3544,0.229317,3.04,12
74,1,14,10,1,54,53,2,0,110,10,11,2063,77,34,0.49,34,0.53,50,84,8196.691603,3582,0.269134,3.12,13
75,4,12,4,1,36,31,1,1,112,14,8,2168,81,32,0.43,32,0.53,51,83,8938.738299,3906,0.272154,3.35,8
76,4,22,1,2,68,42,1,2,72,18,4,2427,90,32,0.43,32,0.57,51,83,8429.021995,3683,0.280846,3.14,9
77,4,18,15,0,68,56,2,2,98,14,7,2073,77,35,0.48,35,0.54,51,86,8199.147025,3583,0.311953,2.92,10
78,5,18,6,1,43,64,1,1,84,7,12,1944,72,35,0.5,35,0.57,48,83,8218.421912,3591,0.240056,3.12,6
79,6,7,1,2,55,63,2,1,121,11,11,2220,83,33,0.45,33,0.53,53,86,8246.082174,3604,0.222931,3.04,10
80,4,8,12,2,49,55,0,1,98,14,7,2241,84,30,0.42,30,0.55,51,81,8251.181362,3606,0.276109,3.08,8
81,5,18,8,1,35,47,0,0,105,7,15,2444,91,37,0.52,37,0.5,52,89,8808.790194,3849,0.270493,3.35,8
82,1,5,15,0,68,65,2,0,121,11,11,2259,84,33,0.46,33,0.56,51,84,8041.114629,3514,0.275346,2.89,8
83,1,5,13,2,53,57,1,2,121,11,11,2412,90,33,0.48,33,0.52,52,85,8359.825425,3653,0.27225,3.12,7
84,2,2,14,2,60,58,0,1,104,13,8,2063,77,32,0.46,32,0.59,49,81,8039.057174,3513,0.262068,3.06,9
85,6,3,2,3,41,55,1,1,121,11,11,1992,74,33,0.44,33,0.55,51,84,8522.026579,3724,0.260371,3.12,8
86,6,11,13,3,34,67,0,1,120,10,12,1992,74,35,0.53,35,0.51,51,86,8284.504508,3620,0.246375,2.94,10
87,5,19,1,2,54,47,0,1,88,11,8,1850,69,31,0.42,31,0.53,52,83,8512.087374,3720,0.251691,3.28,7
88,6,10,2,1,57,52,0,2,88,11,8,1757,66,31,0.44,31,0.49,51,82,8306.180921,3630,0.287779,3.12,9
89,0,9,5,0,53,43,1,1,98,14,7,2195,82,30,0.43,30,0.57,50,80,8491.20611,3711,0.271548,3.11,5
90,4,21,3,1,47,52,0,1,98,14,7,1965,73,30,0.41,30,0.61,48,78,8245.639955,3603,0.242231,3.17,7
91,3,16,15,1,55,53,1,1,88,11,8,2049,76,32,0.46,32,0.6,50,82,8221.655899,3593,0.253452,3.09,8
92,5,21,8,1,41,63,1,1,98,7,14,2234,83,35,0.5,35,0.56,49,84,8299.137521,3627,0.244914,3.21,8
93,0,10,1,3,64,48,1,0,105,15,7,2357,88,34,0.44,34,0.55,51,85,8432.28691,3685,0.311176,2.99,9
94,5,8,5,1,57,50,1,2,80,10,8,1764,66,31,0.43,31,0.53,51,82,8319.043394,3635,0.251092,3.14,8
95,5,15,3,0,66,58,2,2,80,10,8,1757,66,34,0.46,34,0.54,51,85,8047.700663,3517,0.239509,2.92,7
96,5,2,6,2,60,69,0,1,84,7,12,1986,74,34,0.48,34,0.56,51,85,8034.017979,3511,0.221989,2.96,5
97,2,21,15,1,68,45,0,2,88,11,8,1866,70,31,0.41,31,0.58,48,79,8121.746949,3549,0.277291,3.14,9
98,7,0,2,2,31,54,0,1,98,14,7,1917,71,31,0.42,31,0.57,49,80,8405.927059,3673,0.231797,3.2,7
99,6,10,14,3,56,45,1,1,88,11,8,1799,67,31,0.48,31,0.57,51,82,8420.880559,3680,0.250431,3.05,6
100,4,9,3,2,34,39,1,0,98,14,7,2078,77,30,0.44,30,0.47,51,81,8724.49318,3813,0.276839,3.27,9
101,3,6,11,3,54,49,2,1,72,18,4,2477,92,32,0.45,32,0.52,52,84,8446.37615,3691,0.24983,3.06,9
102,7,0,12,2,37,41,1,0,98,14,7,2070,77,31,0.42,31,0.53,49,80,8589.808323,3754,0.308542,3.25,7
103,6,2,11,2,58,41,1,1,112,14,8,2175,81,31,0.47,31,0.53,52,83,8684.792519,3795,0.255646,3.27,6
104,4,13,4,2,58,68,0,1,121,11,11,2456,92,34,0.46,34,0.56,52,86,7916.653843,3460,0.225746,2.91,9
105,5,3,11,3,70,60,2,1,121,11,11,2190,82,37,0.5,37,0.55,52,89,8094.637599,3537,0.238999,3.02,6
106,7,22,3,1,61,70,1,1,110,11,10,1880,70,32,0.45,32,0.6,50,82,7920.817796,3461,0.247395,2.95,7
107,2,16,15,2,41,43,1,1,120,10,12,2369,88,34,0.49,34,0.56,50,84,8648.839488,3780,0.274884,3.25,13
108,5,11,3,3,31,38,1,0,121,11,11,1964,73,33,0.42,33,0.52,51,84,8969.541317,3920,0.288119,3.44,8
109,7,10,11,1,35,61,2,1,90,15,6,2601,97,34,0.47,34,0.51,52,86,8371.440676,3658,0.24162,3.1,7
110,2,4,11,3,58,46,2,1,88,8,11,1928,72,36,0.5,36,0.52,51,87,8411.680481,3676,0.244713,3.04,6
111,4,10,13,2,67,44,1,1,110,11,10,2148,80,36,0.51,36,0.62,49,85,8140.083406,3557,0.284084,3.08,12
112,3,9,6,3,53,70,0,1,110,11,10,1790,67,32,0.44,32,0.61,48,80,7844.905553,3428,0.243997,2.89,8
113,2,20,7,2,52,54,2,1,112,14,8,2240,84,31,0.46,31,0.56,49,80,8183.102556,3576,0.242475,3.25,9
114,0,17,13,2,49,68,1,2,68,17,4,2060,77,29,0.4,29,0.59,48,77,7926.242184,3464,0.268985,3.04,6
115,6,22,12,1,53,63,0,1,110,10,11,2124,79,34,0.46,34,0.57,49,83,7992.068388,3493,0.245596,3.06,10
116,1,5,12,1,30,49,2,1,88,11,8,1964,73,36,0.47,36,0.51,52,88,8860.505513,3872,0.281207,3.27,5
117,2,17,2,3,49,63,1,2,110,10,11,2192,82,34,0.52,34,0.58,48,82,8160.634053,3566,0.257863,2.94,8
118,0,20,15,1,55,57,1,2,98,14,7,2088,78,31,0.42,31,0.54,51,82,8144.577525,3559,0.257003,3.04,5
119,2,17,9,1,58,56,1,1,110,10,11,2510,94,34,0.5,34,0.6,48,82,7918.226844,3460,0.241175,2.96,5
120,4,14,8,1,59,65,1,0,68,17,4,2108,79,29,0.41,29,0.61,47,76,7675.997581,3354,0.255617,2.95,5
121,1,9,0,1,42,42,2,1,88,8,11,1679,63,32,0.46,32,0.5,49,81,8514.357174,3721,0.256936,3.19,9
122,1,1,3,3,32,40,2,0,110,10,11,1974,74,34,0.51,34,0.52,51,85,8729.344084,3815,0.282413,3.19,12
123,5,2,14,2,58,41,0,2,108,9,12,2048,76,35,0.46,35,0.49,53,88,8488.372597,3709,0.288914,3.21,11
124,6,12,1,2,57,41,1,1,80,10,8,1670,62,34,0.48,34,0.65,47,81,8162.475379,3567,0.300784,3.1,9
125,4,11,8,3,66,70,0,0,72,18,4,2474,92,32,0.43,32,0.6,51,83,7962.807416,3480,0.222594,2.82,7
126,1,19,2,2,39,44,0,1,98,7,14,1979,74,35,0.5,35,0.52,50,85,8688.214958,3797,0.259387,3.21,12
127,6,2,12,2,48,35,2,0,88,11,8,2106,79,31,0.45,31,0.48,52,83,8856.702123,3870,0.290368,3.35,7
128,2,20,7,2,39,34,0,1,112,14,8,2273,85,31,0.46,31,0.53,51,82,8865.941638,3874,0.273254,3.38,7
129,1,3,6,2,56,60,2,1,121,11,11,2118,79,33,0.51,33,0.57,50,83,8137.404399,3556,0.2347,3.08,9
130,7,14,13,1,47,54,1,2,112,14,8,2063,77,32,0.43,32,0.54,51,83,8449.332209,3692,0.259466,3.16,8
131,2,21,14,1,42,47,1,0,121,11,11,2049,76,33,0.41,33,0.51,51,84,8672.870221,3790,0.266614,3.27,8
132,3,4,3,1,36,67,0,0,110,11,10,1998,74,32,0.45,32,0.61,48,80,8119.294115,3548,0.225654,3.1,6
133,6,14,12,0,51,46,1,2,120,10,12,2153,80,35,0.46,35,0.53,52,87,8474.220073,3703,0.267597,2.97,8
134,5,15,16,0,47,62,1,2,104,13,8,2040,76,32,0.46,32,0.55,50,82,8218.126801,3591,0.245225,2.93,9
135,1,5,7,1,53,68,1,2,88,11,8,1812,68,31,0.44,31,0.54,51,82,8044.337153,3515,0.247509,3.07,5
136,4,14,8,1,58,34,1,0,68,17,4,2228,83,29,0.39,29,0.53,50,79,8515.735085,3721,0.287081,3.14,6
137,5,11,6,2,32,70,2,1,121,11,11,1991,74,33,0.44,33,0.56,51,84,8491.958404,3711,0.239582,3.21,9
138,3,19,0,3,33,66,1,1,88,11,8,1887,70,34,0.43,34,0.63,49,83,8416.620873,3678,0.237502,3.06,7
139,5,6,6,2,54,67,1,2,112,14,8,2276,85,31,0.44,31,0.59,50,81,7955.908797,3477,0.264509,2.98,8
140,2,4,16,1,70,56,1,1,88,11,8,1704,64,31,0.47,31,0.61,50,81,8117.837137,3547,0.241997,3.12,9
141,2,12,1,2,44,68,2,0,108,9,12,2226,83,34,0.47,34,0.53,50,84,8215.364429,3590,0.258045,3.14,5
142,0,3,10,2,52,38,1,2,110,11,10,2084,78,32,0.44,32,0.55,50,82,8424.553278,3682,0.258391,3.14,7
143,4,9,12,1,68,68,0,0,77,11,7,1713,64,32,0.46,32,0.61,48,80,7605.844823,3324,0.223032,3.02,7
144,5,1,5,2,43,42,1,2,110,10,11,2024,75,34,0.45,34,0.57,49,83,8473.927807,3703,0.293522,3.24,9
145,0,15,4,0,55,67,0,1,121,11,11,2112,79,34,0.46,34,0.59,50,84,7978.870823,3487,0.248443,2.93,6
146,3,6,4,3,52,63,0,2,105,15,7,2402,90,34,0.45,34,0.55,51,85,8267.832348,3613,0.255407,2.98,8
147,1,21,10,3,39,44,1,1,112,14,8,2036,76,31,0.42,31,0.51,51,82,8660.507363,3785,0.240029,3.21,5
148,3,8,8,3,51,63,1,2,110,11,10,2414,90,32,0.47,32,0.58,48,80,8095.640751,3538,0.287107,2.95,8
149,2,20,12,0,42,64,0,0,112,14,8,2054,77,31,0.42,31,0.51,51,82,8209.0231,3587,0.256715,2.96,8
150,5,2,13,0,37,50,1,0,120,10,12,2021,75,35,0.51,35,0.52,51,86,8718.30753,3810,0.258659,3.27,10
151,3,6,0,3,63,40,2,0,72,18,4,2424,90,32,0.44,32,0.51,51,83,8580.922002,3750,0.278227,3.1,7
152,1,12,15,1,50,63,1,0,110,10,11,1955,73,34,0.5,34,0.54,53,87,8209.561539,3588,0.242455,3.08,15
153,1,15,14,2,69,64,2,0,84,7,12,1932,72,34,0.5,34,0.54,51,85,7989.786707,3492,0.278225,2.95,8
154,6,3,12,2,67,37,1,2,112,14,8,1977,74,31,0.48,31,0.53,51,82,8438.299163,3688,0.260251,3.25,8
155,4,7,5,1,59,53,2,0,110,11,10,1970,73,32,0.47,32,0.52,50,82,8223.618381,3594,0.256769,3.15,15
156,2,12,9,0,56,36,0,1,120,10,12,2702,101,35,0.48,35,0.51,51,86,8664.541868,3786,0.274593,3.1,5
157,4,16,9,2,64,33,1,2,121,11,11,2363,88,34,0.47,34,0.6,49,83,8432.573724,3685,0.309969,3.22,7
158,1,9,1,2,57,48,0,0,88,11,8,1625,61,30,0.43,30,0.5,49,79,8148.172011,3561,0.260031,3.09,8
159,2,2,2,3,61,57,2,2,104,13,8,2087,78,32,0.52,32,0.52,50,82,8115.596115,3547,0.270724,2.92,15
160,0,6,4,0,36,66,2,1,110,11,10,1788,67,32,0.44,32,0.55,51,83,8292.52463,3624,0.264956,2.95,7
161,0,20,12,1,48,55,1,0,98,14,7,2183,81,31,0.43,31,0.58,49,80,8203.246279,3585,0.276373,3.14,5
162,7,10,11,2,67,43,2,1,90,15,6,2598,97,34,0.51,34,0.53,53,87,8453.113601,3694,0.255208,3.1,10
163,2,15,8,3,68,65,1,2,80,10,8,1874,70,34,0.51,34,0.6,49,83,7815.187874,3415,0.264074,2.81,5
164,1,8,15,3,64,41,1,0,98,7,14,2085,78,35,0.51,35,0.56,50,85,8259.741513,3610,0.283917,2.95,10
165,4,20,7,3,31,38,0,0,121,11,11,2183,81,34,0.44,34,0.44,53,87,9005.4561,3935,0.249341,3.28,8
166,2,9,5,0,45,34,2,1,77,7,11,1904,71,33,0.53,33,0.53,49,82,8618.489858,3766,0.278949,3.22,4
167,2,20,6,1,55,61,2,0,121,11,11,2117,79,33,0.51,33,0.47,53,86,8352.220637,3650,0.250633,3.1,7
168,5,22,14,2,61,70,2,2,104,13,8,2082,78,32,0.47,32,0.56,51,83,7828.522083,3421,0.232693,3.02,9
169,2,12,4,3,38,67,1,1,120,10,12,2315,86,35,0.5,35,0.62,49,84,8200.894432,3584,0.249669,2.99,9
170,4,20,9,2,52,48,1,1,88,11,8,1742,65,32,0.44,32,0.59,50,82,8339.696465,3644,0.255338,3.27,7
171,3,16,16,2,55,44,1,0,112,14,8,2222,83,32,0.43,32,0.52,51,83,8436.990588,3687,0.260673,3.25,9
172,5,0,12,1,40,59,1,1,104,13,8,1806,67,32,0.48,32,0.58,49,81,8377.531888,3661,0.264458,3.25,10
173,5,19,5,2,47,34,0,1,121,11,11,1941,72,33,0.48,33,0.51,51,84,8807.256699,3849,0.295008,3.39,8
174,3,20,14,2,45,63,1,1,88,11,8,1718,64,34,0.47,34,0.6,49,83,8343.037377,3646,0.248453,3.15,6
175,5,18,2,2,32,55,2,2,120,10,12,2102,78,34,0.46,34,0.51,52,86,8818.804424,3854,0.280353,3.26,10
176,5,7,1,2,35,56,0,2,110,10,11,1973,74,33,0.47,33,0.51,50,83,8459.223965,3697,0.259872,3.2,10
177,4,11,2,0,64,32,1,0,105,15,7,2367,88,34,0.49,34,0.52,52,86,8718.308678,3810,0.288889,3.16,8
178,5,19,8,1,67,51,0,0,121,11,11,2238,83,33,0.46,33,0.56,51,84,8140.658652,3557,0.239382,3.14,7
179,2,17,0,1,52,57,2,1,104,13,8,2244,84,32,0.48,32,0.56,50,82,8149.452221,3561,0.240466,3.09,7
180,3,14,10,2,47,67,1,0,98,14,7,2139,80,31,0.44,31,0.61,46,77,7779.864582,3400,0.271932,3.04,8
181,7,16,6,2,42,66,1,1,121,11,11,2333,87,34,0.43,34,0.59,50,84,8287.912357,3622,0.24738,3.14,7
182,5,12,11,1,56,45,1,2,84,7,12,2063,77,35,0.47,35,0.51,53,88,8438.624808,3688,0.252642,3.12,16
183,2,8,6,3,61,36,1,1,77,7,11,1776,66,33,0.52,33,0.6,48,81,8314.80873,3634,0.267183,3.1,4
184,3,2,3,1,31,66,2,1,121,11,11,2162,81,34,0.45,34,0.58,51,85,8504.441468,3716,0.229407,3.25,8
185,6,19,10,1,42,55,2,1,112,14,8,2052,77,31,0.46,31,0.56,50,81,8460.990272,3697,0.249514,3.27,7
186,3,5,7,3,30,45,2,2,110,11,10,2153,80,32,0.44,32,0.57,49,81,8776.514864,3835,0.281294,3.32,13
187,1,17,13,1,35,38,1,1,80,10,8,1710,64,32,0.43,32,0.53,50,82,8824.733459,3856,0.273386,3.26,5
188,6,13,8,2,32,46,0,1,110,10,11,2034,76,34,0.47,34,0.55,50,84,8730.255183,3815,0.257711,3.25,8
189,3,1,15,2,67,42,1,0,68,17,4,2121,79,29,0.39,29,0.55,49,78,8217.301553,3591,0.286877,3.24,10
190,4,12,5,0,66,65,1,1,112,14,8,2003,75,32,0.47,32,0.64,48,80,7868.396531,3438,0.235214,2.96,6
191,6,13,5,1,51,44,0,1,110,10,11,2172,81,34,0.48,34,0.56,50,84,8352.548278,3650,0.25782,3.15,5
192,6,21,14,2,43,64,1,0,77,7,11,1772,66,33,0.49,33,0.59,49,82,8109.927459,3544,0.280115,3.08,14
193,1,11,1,3,60,39,1,1,84,7,12,1847,69,35,0.48,35,0.57,50,85,8414.02809,3677,0.26176,3.14,6
194,4,6,13,2,51,41,1,0,105,15,7,2385,89,35,0.47,35,0.54,51,86,8559.382353,3740,0.285545,3.25,8
195,3,17,10,3,38,69,2,2,121,11,11,2654,99,34,0.46,34,0.6,49,83,8252.582236,3606,0.289767,3.06,10
